iter	Passed	Remaining
0	117	117040
1	118	59068
2	119	39676
3	120	29996
4	121	24149
5	122	20250
6	123	17463
7	123	15370
8	124	13744
9	125	12446
10	126	11382
11	127	10494
12	128	9758
13	130	9200
14	131	8651
15	132	8161
16	133	7731
17	135	7372
18	136	7026
19	137	6714
20	137	6430
21	138	6168
22	139	5932
23	140	5715
24	141	5516
25	142	5335
26	143	5169
27	144	5021
28	146	4898
29	147	4767
30	148	4640
31	149	4521
32	150	4406
33	151	4295
34	152	4194
35	153	4097
36	153	4004
37	154	3916
38	155	3834
39	156	3755
40	157	3688
41	159	3640
42	160	3577
43	161	3512
44	162	3451
45	163	3391
46	164	3333
47	165	3276
48	166	3224
49	166	3172
50	167	3123
51	168	3076
52	169	3030
53	170	2985
54	171	2945
55	172	2911
56	174	2882
57	175	2845
58	176	2808
59	176	2772
60	177	2739
61	179	2710
62	180	2677
63	180	2646
64	181	2616
65	182	2585
66	183	2556
67	184	2527
68	185	2499
69	186	2472
70	187	2449
71	188	2430
72	189	2406
73	190	2382
74	191	2358
75	192	2335
76	193	2314
77	193	2292
78	194	2271
79	195	2250
80	196	2229
81	197	2209
82	198	2189
83	198	2170
84	199	2151
85	200	2133
86	201	2116
87	203	2105
88	204	2091
89	205	2074
90	206	2058
91	206	2042
92	207	2027
93	208	2011
94	209	1996
95	210	1981
96	211	1966
97	212	1952
98	212	1937
99	213	1923
100	214	1910
101	215	1896
102	216	1883
103	217	1873
104	218	1864
105	219	1853
106	220	1841
107	221	1829
108	222	1817
109	223	1806
110	224	1795
111	225	1784
112	225	1773
113	226	1762
114	227	1752
115	228	1741
116	229	1731
117	230	1720
118	231	1710
119	231	1700
120	232	1692
121	234	1684
122	234	1675
123	235	1666
124	236	1656
125	237	1647
126	238	1638
127	239	1630
128	240	1621
129	240	1612
130	241	1604
131	242	1595
132	243	1587
133	244	1579
134	245	1571
135	246	1563
136	246	1555
137	247	1548
138	249	1543
139	250	1535
140	250	1528
141	251	1518
142	252	1511
143	253	1504
144	253	1497
145	254	1490
146	255	1483
147	256	1476
148	257	1469
149	258	1462
150	258	1455
151	259	1449
152	260	1443
153	261	1435
154	262	1429
155	262	1421
156	263	1416
157	264	1411
158	265	1405
159	266	1399
160	267	1394
161	268	1388
162	269	1382
163	270	1377
164	271	1371
165	271	1365
166	272	1360
167	273	1355
168	274	1347
169	274	1342
170	275	1337
171	276	1331
172	277	1326
173	278	1322
174	279	1318
175	280	1314
176	281	1308
177	281	1302
178	282	1294
179	283	1290
180	284	1285
181	284	1278
182	284	1271
183	285	1265
184	286	1261
185	287	1256
186	287	1250
187	288	1244
188	288	1238
189	289	1233
190	290	1229
191	291	1225
192	292	1221
193	293	1219
194	294	1216
195	295	1212
196	296	1208
197	297	1204
198	298	1201
199	299	1198
200	300	1193
201	300	1188
202	301	1184
203	302	1178
204	302	1172
205	303	1169
206	303	1163
207	304	1157
208	304	1153
209	305	1150
210	306	1144
211	306	1140
212	307	1135
213	308	1133
214	309	1128
215	309	1123
216	309	1118
217	310	1113
218	311	1109
219	311	1105
220	312	1100
221	312	1095
222	313	1090
223	313	1085
224	313	1081
225	314	1076
226	315	1072
227	315	1069
228	316	1064
229	316	1060
230	317	1055
231	317	1050
232	318	1047
233	319	1044
234	319	1041
235	320	1038
236	321	1035
237	321	1030
238	322	1026
239	323	1025
240	324	1022
241	325	1019
242	325	1015
243	326	1011
244	326	1007
245	327	1003
246	328	1001
247	329	998
248	329	994
249	330	991
250	330	987
251	331	982
252	331	978
253	332	976
254	333	973
255	333	969
256	334	966
257	335	964
258	336	961
259	336	958
260	338	957
261	339	955
262	340	953
263	340	950
264	341	948
265	342	945
266	343	943
267	344	940
268	345	938
269	346	935
270	346	933
271	347	930
272	348	927
273	349	925
274	350	923
275	351	920
276	352	918
277	352	916
278	353	914
279	354	912
280	355	910
281	356	907
282	357	904
283	357	902
284	358	899
285	359	897
286	360	894
287	360	892
288	361	890
289	362	888
290	363	886
291	364	883
292	365	881
293	366	879
294	367	877
295	367	874
296	368	872
297	369	871
298	370	869
299	371	867
300	372	864
301	372	861
302	373	859
303	374	856
304	375	854
305	376	852
306	376	850
307	377	848
308	378	846
309	379	845
310	380	843
311	381	841
312	382	838
313	382	836
314	384	835
315	384	833
316	385	831
317	386	828
318	386	826
319	387	824
320	388	822
321	389	820
322	390	818
323	391	816
324	392	814
325	393	812
326	393	810
327	394	808
328	395	806
329	396	804
330	397	802
331	397	800
332	399	799
333	400	798
334	401	796
335	402	794
336	402	792
337	403	791
338	404	789
339	405	787
340	406	785
341	407	783
342	408	781
343	409	780
344	409	778
345	410	776
346	411	774
347	412	772
348	413	771
349	414	770
350	415	769
351	416	767
352	417	765
353	418	763
354	419	762
355	420	760
356	421	758
357	422	757
358	422	755
359	423	753
360	424	751
361	425	749
362	426	748
363	427	746
364	428	744
365	429	744
366	430	743
367	431	741
368	432	740
369	433	738
370	435	737
371	436	736
372	437	735
373	438	733
374	438	731
375	439	729
376	440	728
377	441	726
378	442	724
379	443	723
380	444	721
381	445	720
382	446	719
383	447	717
384	448	716
385	449	714
386	450	713
387	451	711
388	452	710
389	453	708
390	454	707
391	455	705
392	455	704
393	456	702
394	457	700
395	458	699
396	459	697
397	460	696
398	461	695
399	462	694
400	463	692
401	464	691
402	465	690
403	466	688
404	467	686
405	468	685
406	469	683
407	470	682
408	471	680
409	471	679
410	472	677
411	473	676
412	474	674
413	475	673
414	477	672
415	478	671
416	479	670
417	480	668
418	481	667
419	482	665
420	483	664
421	483	662
422	484	661
423	485	659
424	486	658
425	487	656
426	488	655
427	489	653
428	490	652
429	492	653
430	494	652
431	495	650
432	496	649
433	497	648
434	497	646
435	498	645
436	499	643
437	500	642
438	501	640
439	502	639
440	503	637
441	503	636
442	504	634
443	505	633
